timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605825641622,588,HTTP Request,200,,Thread Group 1-1,text,true,,479206,1139,4,4,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,130,0,57
1605825641676,587,HTTP Request,200,,Thread Group 1-2,text,true,,479214,1139,4,4,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,77,0,21
1605825641875,562,HTTP Request,200,,Thread Group 1-3,text,true,,479222,1139,5,5,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,65,0,20
1605825642227,327,HTTP Request,200,,Thread Group 1-1,text,true,,479277,1139,6,6,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,50,0,0
1605825642555,32,HTTP Request,200,,Thread Group 1-1,text,true,,25423,1112,6,6,http://api.albert.health/doctorInformation/getAll,30,0,0
1605825642267,359,HTTP Request,200,,Thread Group 1-2,text,true,,479269,1139,6,6,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,54,0,0
1605825642627,32,HTTP Request,200,,Thread Group 1-2,text,true,,25415,1112,6,6,http://api.albert.health/doctorInformation/getAll,30,0,0
1605825642075,594,HTTP Request,200,,Thread Group 1-4,text,true,,479206,1139,7,7,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,72,0,19
1605825642440,323,HTTP Request,200,,Thread Group 1-3,text,true,,479277,1139,7,7,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,58,0,0
1605825642764,34,HTTP Request,200,,Thread Group 1-3,text,true,,25415,1112,7,7,http://api.albert.health/doctorInformation/getAll,31,0,0
1605825642273,608,HTTP Request,200,,Thread Group 1-5,text,true,,479206,1139,8,8,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,65,0,20
1605825642588,335,HTTP Request,200,,Thread Group 1-1,text,true,,221272,1140,8,8,http://api.albert.health/appointment/getByDoctor/aNpx0AgMlmgoYz5SWJBrSmIenOA3,231,0,0
1605825642925,51,HTTP Request,200,,Thread Group 1-1,text,true,,1663,1201,8,8,http://api.albert.health/profile/loadConnectedProfiles,50,0,0
1605825642660,352,HTTP Request,200,,Thread Group 1-2,text,true,,221272,1140,8,8,http://api.albert.health/appointment/getByDoctor/aNpx0AgMlmgoYz5SWJBrSmIenOA3,257,0,0
1605825642672,350,HTTP Request,200,,Thread Group 1-4,text,true,,479269,1139,8,8,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,60,0,0
1605825642976,68,HTTP Request,400,,Thread Group 1-1,text,false,,750,1189,8,8,http://api.albert.health/userSettings/save,68,0,0
1605825643023,36,HTTP Request,200,,Thread Group 1-4,text,true,,25423,1112,8,8,http://api.albert.health/doctorInformation/getAll,34,0,0
1605825643012,51,HTTP Request,200,,Thread Group 1-2,text,true,,1663,1201,8,8,http://api.albert.health/profile/loadConnectedProfiles,50,0,0
1605825642471,635,HTTP Request,200,,Thread Group 1-6,text,true,,479214,1139,9,9,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,86,0,21
1605825643063,45,HTTP Request,400,,Thread Group 1-2,text,false,,750,1189,9,9,http://api.albert.health/userSettings/save,45,0,0
1605825642799,387,HTTP Request,200,,Thread Group 1-3,text,true,,221272,1140,9,9,http://api.albert.health/appointment/getByDoctor/aNpx0AgMlmgoYz5SWJBrSmIenOA3,272,0,0
1605825643186,60,HTTP Request,200,,Thread Group 1-3,text,true,,1663,1201,9,9,http://api.albert.health/profile/loadConnectedProfiles,60,0,0
1605825643045,232,HTTP Request,200,,Thread Group 1-1,text,true,,479309,1139,10,10,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,68,0,0
1605825642885,405,HTTP Request,200,,Thread Group 1-5,text,true,,479222,1139,10,10,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,85,0,0
1605825643247,51,HTTP Request,400,,Thread Group 1-3,text,false,,750,1189,10,10,http://api.albert.health/userSettings/save,51,0,0
1605825643291,61,HTTP Request,200,,Thread Group 1-5,text,true,,25415,1112,10,10,http://api.albert.health/doctorInformation/getAll,60,0,0
1605825643109,311,HTTP Request,200,,Thread Group 1-2,text,true,,479293,1139,10,10,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,77,0,0
1605825643060,444,HTTP Request,200,,Thread Group 1-4,text,true,,221288,1140,11,11,http://api.albert.health/appointment/getByDoctor/aNpx0AgMlmgoYz5SWJBrSmIenOA3,249,0,0
1605825642671,843,HTTP Request,200,,Thread Group 1-7,text,true,,479206,1139,11,11,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,113,0,27
1605825643280,273,HTTP Request,200,,Thread Group 1-1,text,true,,479474,1139,11,11,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,81,0,0
1605825643505,66,HTTP Request,200,,Thread Group 1-4,text,true,,1663,1201,11,11,http://api.albert.health/profile/loadConnectedProfiles,66,0,0
1605825643108,463,HTTP Request,200,,Thread Group 1-6,text,true,,479237,1139,11,11,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,62,0,0
1605825643554,50,HTTP Request,200,,Thread Group 1-1,text,true,,25423,1112,11,11,http://api.albert.health/doctorInformation/getAll,47,0,0
1605825643572,41,HTTP Request,200,,Thread Group 1-6,text,true,,25415,1112,11,11,http://api.albert.health/doctorInformation/getAll,39,0,0
1605825643572,71,HTTP Request,400,,Thread Group 1-4,text,false,,750,1189,11,11,http://api.albert.health/userSettings/save,71,0,0
1605825643299,359,HTTP Request,200,,Thread Group 1-3,text,true,,479347,1139,11,11,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,71,0,0
1605825643421,265,HTTP Request,200,,Thread Group 1-2,text,true,,479427,1139,12,12,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,83,0,0
1605825642871,817,HTTP Request,200,,Thread Group 1-8,text,true,,479199,1139,12,12,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,112,0,24
1605825643686,29,HTTP Request,200,,Thread Group 1-2,text,true,,25415,1112,12,12,http://api.albert.health/doctorInformation/getAll,27,0,0
1605825643353,437,HTTP Request,200,,Thread Group 1-5,text,true,,221280,1140,12,12,http://api.albert.health/appointment/getByDoctor/aNpx0AgMlmgoYz5SWJBrSmIenOA3,295,0,0
1605825643791,51,HTTP Request,200,,Thread Group 1-5,text,true,,1663,1201,12,12,http://api.albert.health/profile/loadConnectedProfiles,51,0,0
1605825643071,806,HTTP Request,200,,Thread Group 1-9,text,true,,479206,1139,13,13,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,82,0,18
1605825643843,72,HTTP Request,400,,Thread Group 1-5,text,false,,750,1189,13,13,http://api.albert.health/userSettings/save,72,0,0
1605825643661,254,HTTP Request,200,,Thread Group 1-3,text,true,,479419,1139,13,13,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,66,0,0
1605825643605,326,HTTP Request,200,,Thread Group 1-1,text,true,,221280,1140,13,13,http://api.albert.health/appointment/getByDoctor/aNpx0AgMlmgoYz5SWJBrSmIenOA3,233,0,0
1605825643614,339,HTTP Request,200,,Thread Group 1-6,text,true,,221280,1140,13,13,http://api.albert.health/appointment/getByDoctor/aNpx0AgMlmgoYz5SWJBrSmIenOA3,221,0,0
1605825643917,64,HTTP Request,200,,Thread Group 1-3,text,true,,25423,1112,13,13,http://api.albert.health/doctorInformation/getAll,46,0,0
1605825643517,471,HTTP Request,200,,Thread Group 1-7,text,true,,479277,1139,13,13,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,99,0,0
1605825643931,57,HTTP Request,200,,Thread Group 1-1,text,true,,1663,1201,13,13,http://api.albert.health/profile/loadConnectedProfiles,57,0,0
1605825643716,286,HTTP Request,200,,Thread Group 1-2,text,true,,221304,1140,13,13,http://api.albert.health/appointment/getByDoctor/aNpx0AgMlmgoYz5SWJBrSmIenOA3,237,0,0
1605825643953,53,HTTP Request,200,,Thread Group 1-6,text,true,,1663,1201,13,13,http://api.albert.health/profile/loadConnectedProfiles,53,0,0
1605825643644,380,HTTP Request,200,,Thread Group 1-4,text,true,,479347,1139,13,13,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,95,0,0
1605825643989,58,HTTP Request,200,,Thread Group 1-7,text,true,,25422,1112,13,13,http://api.albert.health/doctorInformation/getAll,56,0,0
1605825643989,62,HTTP Request,400,,Thread Group 1-1,text,false,,750,1189,13,13,http://api.albert.health/userSettings/save,61,0,0
1605825644007,44,HTTP Request,400,,Thread Group 1-6,text,false,,750,1189,13,13,http://api.albert.health/userSettings/save,44,0,0
1605825644003,65,HTTP Request,200,,Thread Group 1-2,text,true,,1663,1201,13,13,http://api.albert.health/profile/loadConnectedProfiles,65,0,0
1605825644069,69,HTTP Request,400,,Thread Group 1-2,text,false,,750,1189,14,14,http://api.albert.health/userSettings/save,69,0,0
1605825643691,487,HTTP Request,200,,Thread Group 1-8,text,true,,479269,1139,14,14,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,90,0,0
1605825643272,921,HTTP Request,200,,Thread Group 1-10,text,true,,479199,1139,14,14,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,104,0,21
1605825644178,50,HTTP Request,200,,Thread Group 1-8,text,true,,25415,1112,14,14,http://api.albert.health/doctorInformation/getAll,47,0,0
1605825643916,390,HTTP Request,200,,Thread Group 1-5,text,true,,479356,1139,15,15,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,73,0,0
1605825644026,345,HTTP Request,200,,Thread Group 1-4,text,true,,479356,1139,15,15,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,74,0,0
1605825644052,319,HTTP Request,200,,Thread Group 1-1,text,true,,479482,1139,15,15,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,95,0,0
1605825643880,505,HTTP Request,200,,Thread Group 1-9,text,true,,479269,1139,15,15,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,68,0,0
1605825644139,269,HTTP Request,200,,Thread Group 1-2,text,true,,479506,1139,15,15,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,78,0,0
1605825643982,432,HTTP Request,200,,Thread Group 1-3,text,true,,221272,1140,15,15,http://api.albert.health/appointment/getByDoctor/aNpx0AgMlmgoYz5SWJBrSmIenOA3,279,0,0
1605825644372,58,HTTP Request,200,,Thread Group 1-4,text,true,,25423,1112,15,15,http://api.albert.health/doctorInformation/getAll,47,0,0
1605825644386,49,HTTP Request,200,,Thread Group 1-9,text,true,,25422,1112,15,15,http://api.albert.health/doctorInformation/getAll,47,0,0
1605825644052,383,HTTP Request,200,,Thread Group 1-6,text,true,,479386,1139,15,15,http://api.albert.health/doctorAvailability/get/aNpx0AgMlmgoYz5SWJBrSmIenOA3,108,0,0
